seq,contents,reply_contents
11282,"녹음기능을 사용하지 않으려면 어떻게  해야 하나요?  설정이나 음원설정중 어디를 클릭해야 하는지, 방법도 알려주셨으면 합니다",<p>안녕하세요 바이블 애플입니다. </p><p>녹음기능은 녹음 화면으로 별도로 이동하여 사용하는 기능입니다. </p><p>사용하지 않으시면 녹음 버튼을 클릭하지 않으시면 되는데 현재 녹음화면에서</p><p>못나오고 계신 상황이신걸까요? 그러시다면 성경 녹음화면 최상단에 오른쪽에 X표시가 보이실거에요</p><p>누루시면 종료 알림이 나오고 종료버튼을 누루시면 성경본문화면으로 나오게 됩니다. </p><p><br></p><p>해결이 안도신다면 다시 문의 남겨주세요 감사합니다. </p>
11281,"말씀구절 일부 잘려있어요 
우리말성경버전 
고린도후서 10장 15절","<p>&nbsp;안녕하세요 바이블 애플입니다. 바이블 애플을 이용해주셔서 감사합니다.</p><p><br></p><p>성도님, 캡쳐해주신 현상을 확인했습니다.</p><p>이는 화면의 크기를 조절하는 가운데 마지막 부분이 잘려서 글자를 불러오지 못하는 것으로,</p><p>해당 현상은 일시적인 것으로 확인됩니다.</p><p><br></p><p>이런 현상이 일어날때 성경본문화면에서 상단메뉴에 A글자를 클릭하시어 폰트 크기를 조절하시거나 앱을 종료하였다</p><p>재실행하시면 해당 본문이 잘 나오실거에요.</p><p>간혹 화면을 그리는 중에 일부 텍스트가 일시적으로 덜 불러와지거나 화면에 그려지지 않는 경우가</p><p>있습니다. 불편하시겠지만 위의 방법으로 이용해주시고 해당 부분이 더 개선될 수 있도록 계속 살펴보겠습니다. </p><p><br></p><p>문의 남겨 주셔서 감사합니다.</p><p>항상 주님안에서 평안하세요. 감사합니다.</p>"
11280,"업데이트되고 오류가 잦네요
열왕기하 14장 녹음할때 구절 끝안보여요
16절 17절  27절
몇일전에도 다른구절 보냈어요
공유로딩시간도 너무 오래걸려요
집중이 안되요 
빠른개선요망
","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사합니다.</p><p><br></p><p>성도님, 이용에 불편을 드려 정말 죄송합니다.</p><p>말씀해 주신 부분은 이번 업데이트 이후 발견하여 바로 수정 작업을 시작했습니다.</p><p><br></p><p>확인해 보니, 좌측의 녹음 진행 표시 때문에 글자 크기가 클 경우 일부 구절이 잘려 보이는 현상으로 확인됩니다.</p><p>특히 낭독 녹음을 하실 때는 본문이 온전히 보여야 하는데, 이런 불편을 드려서 마음이 무겁습니다.</p><p><br></p><p>우선 당장은 글자 크기를 잠시 줄였다가 다시 키워 이용해 주시면, 구절이 잘리는 현상을 줄이실 수 있습니다.</p><p>물론 임시방편일 뿐이라, 성도님이 편하게 사용하실 수 있도록 글자 크기와 상관없이 잘 보이게 빠르게 개선하겠습니다.</p><p>공유 속도 관련하여서도 개발자가 속도 개선을 위해 계속 개발 중에 있습니다. </p><p><br></p><p>내부 인원의 한계로 시간이 다소 소요될 것으로 보이나. 성도님의 불편이 길어지지 않도록 최선을 다하겠습니다.</p><p>항상 주님 안에서 평안하세요, 감사합니다.</p>"
11279,갤럭시s22에서 성경의 장을 나타내는 숫자 표시가 한자리일 때는 나오고 두자리일 때는 안나오는데 개선 부탁드립니다!,<p>안녕하세요 바이블 애플앱입니다. </p><p><br></p><p>문의남겨주셔서 감사합니다. </p><p>현재 성도님의 앱버전이 최신 버전(4.1.0.9)이 아닌것으로 확인됩니다. </p><p>최신버전으로 업데이트해주세요. </p><p>최신 버전에서 우리말성경 장표시가 내부테스트에서는 문제가 없는것으로 확인되었습니다. </p><p>업데이트 하셔도  그렇지 않다면 재문의 남겨주세요 </p><p><br></p><p>감사합니다. </p>
11277,"통독 알림을 해제했는데 너무 자주 알림 뜹니다
수정바랍니다",<p>안녕하세요 바이블 애플입니다. </p><p><br></p><p>불편을 드려 죄송합니다. </p><p>해당 문제를 개선하기위해 면밀히 살펴 보겠습니다. </p><p><br></p><p>문의 남겨주셔서 감사합니다. </p>
11275,표준새번역 전도서 2장 15절 뒷부분 출력오류 있습니다,"<p>&nbsp;안녕하세요 바이블 애플입니다. 바이블 애플을 이용해주셔서 감사합니다.</p><p><br></p><p>성도님, 문의 주신 현상을 확인했습니다.</p><p>이는 화면의 크기를 조절하는 가운데 마지막 부분이 잘려서 글자를 불러오지 못하는 것으로,</p><p>해당 현상은 일시적인 것으로 확인됩니다.</p><p><br></p><p>이런 현상이 일어날때 성경본문화면에서 상단메뉴에 A글자를 클릭하시어 폰트 크기를 조절하시거나 앱을 종료하였다</p><p>재실행하시면 해당 본문이 잘 나오실거에요.</p><p>간혹 화면을 그리는 중에 일부 텍스트가 일시적으로 덜 불러와지거나 화면에 그려지지 않는 경우가 있습니다. </p><p>임시방편이지만 위의 방법으로 이용해주시고 해당 부분이 더 개선될 수 있도록 계속 살펴보겠습니다.</p><p><br></p><p>문의 남겨 주셔서 감사합니다.</p><p>항상 주님안에서 평안하세요. 감사합니다.</p>"
11274,일독이 끝났는데도 퍼센트와 일자가.계속 늘어납니다 일정에맞춰서 종료되지가 않아요,<p>안녕하세요. 바이블 애플입니다.</p><p><br></p><p>안타깝게도 (구)일독표는 더이상 서비스개선이 되고 있지않습니다.</p><p>기존에 사용하시던 분들을 위해 현재 확인용으로만 남겨진 상황입니다. </p><p>도움을 드리지 못해 죄송합니다. </p><p><br></p><p>다른 궁금하신 사항이 있으시면 언제든지 문의해주세요.</p><p><br></p><p>항상 주님안에서 평안하세요.감사합니다.</p>
11271,"안녕하세요?
전에  개역개정 성경 읽기가 틀린 부분을 올린 적이 있어요. 그때는 몰라서 오탈자 쪽에 올렸었어요.
그 부분이 아직 수정이 안되어서 그때에 이어서  올립니다. 수정할 때 함께 하면 좋을것 같습니다.  평안하세요.",<p>안녕하세요 바이블 애플입니다.</p><p><br></p><p>문의 남겨주셔서 감사합니다. 마 8: 26절 음원 다른 부분 확인되었습니다.</p><p>차후 음원을 녹음하게 되었을때 체크하겠습니다.</p><p>그리고 다른 구절인 마 22:39절은 사랑하라 하셨으니로 확인 되었습니다.</p><p>이용하시는데 참고해주세요</p><p><br></p><p>성도님과 함께 성장하는 바이블 애플앱이 되겠습니다.</p><p>이용해주셔서 감사합니다.</p>
11270,"처음 창세기부턴 녹음공유가 빠르고 좋았습니다
지금은 신약 빌립보서 까지 녹음공유중참다가 글 올려봅니다
신약 들어오면서 평균 7초이상 오려걸리고 파일이 없다고도 나오고 다시반복 공유지정하면 7~9초다시 기다리다 공유됩니다

사적인 다른 파일들 공유전송들은 평균속도로 보내지고있습니다","<p>안녕하세요. 바이블 애플입니다.</p><p>녹음 공유 시 지연이 발생하는 부분은 현재 개발 중이며, </p><p>다음 업데이트에서 개선될 예정입니다.</p><p>이용에 불편을 드려 죄송합니다.</p><p>조금만 기다려 주시면 더욱 원활하게 사용하실 수 있도록  최선을 다하겠습니다.</p><p>항상 성도님께 좋은 성경앱을 제공하기 위해 최선을 다하는 바이블 애플이 되겠습니다.</p><p>감사합니다. 주님 안에서 평안하세요.</p>"
11269,"[바이블 애플]
개역개정 이사야 28장

15. 너희가 말하기를 우리는 사망과 언약하였고 스올과 맹약하였은즉 넘치는 재앙이 밀려올지라도 우리에게 미치지 못하리니 우리는 거짓을 우리의 피난처로 삼았고 허위 아래에 우리를 숨겼음이라 하는도다

이 부분이 성경 화면에서는 허위 이후로는 안보입니다 확인 부탁합니다","<p>안녕하세요 바이블 애플입니다. 바이블 애플을 이용해주셔서 감사합니다.</p><p>성도님, 문의 주신 현상을 확인했습니다.</p><p>이는 화면의 크기를 조절하는 가운데 마지막 부분이 잘려서 글자를 불러오지 못하는 것으로, 해당 현상은 일시적인 것으로 확인됩니다.</p><p><br></p><p>이런 현상이 일어날때 성경본문화면에서 상단메뉴에 A글자를 클릭하시어 폰트 크기를 조절하시거나 앱을 종료하였다가 재실행하시면 해당 본문이 잘 나오실거에요.</p><p>간혹 화면을 그리는 중에 일부 텍스트가 일시적으로 덜 불러와지거나 화면에 그려지지 않는 경우가 있습니다.</p><p>임시방편이지만 위의 방법으로 이용해주시고 해당 부분이 더 개선될 수 있도록 계속 살펴보겠습니다.</p><p><br></p><p>문의 남겨 주셔서 감사합니다.</p><p>항상 주님안에서 평안하세요. 감사합니다.</p>"
