seq,contents,reply_contents
11480,구찬송가는 웹사이트에서는 되고 어플에서는 안되던데 어플에서도 구 찬송가 들을 수 있게 해주실 계획이 있으신가요?,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>현재 찬송가는 찬송가공회와 저작권 협의를 통해 탑재중이기 때문에 </p><p>해당 부분은 내부적으로 검토가 필요합니다.</p><p>앱에서는 구찬송가 업로드 계획이 따로 없으나</p><p>성도님의 의견은 전달하여 개선 시 숙고하도록 하겠습니다.</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다. </p>"
11478,"1. 성경통독이나 성경 본문을 읽다가 나갔다가
다시 들어왔을 때
마지막 성경 읽던 곳의 창이 열리면 좋겠어요
2.앱 종료시 앱종료 창이 아니라 
그냥 뒤로 가기로 앱을 끌수 없을까요?
바빠서 뒤로가기로 앱 종료를 못누르고 나가기를 하면 폰에 오류현상이 있는것 같더라구요","<p>안녕하세요. GOODTV 바이블 애플입니다. 바이블 애플을 애용해 주셔서 감사합니다.</p><p><br></p><p>마지막 읽던 위치로 자동 이동의 경우, 사용자의 읽기 이력 저장 방식과 앱 초기 구동 로직이 변경되어야 하는 부분인데</p><p>기술적으로 현재 즉각 반영하기에는 어렵습니다.</p><p><br></p><p>또한, ‘앱 종료’ 버튼을 누르면 앱이 완전히 종료되고, ‘뒤로가기’ 버튼은 페이지 이동 용도로만 사용되도록 설정되어 있습니다.</p><p>사용자 편의성 측면에서 말씀처럼 뒤로가기를 통한 앱 종료를 허용할 수 있으나,</p><p>이 경우 일부 기기에서는 정상적인 세션 종료가 이루어지지 않아 오류나 데이터 저장 누락 문제가 생길 수 있습니다.</p><p><br></p><p>하지만, 문의해 주신 부분들에 대해, 내부적으로 검토해 보도록 하겠습니다.</p><p><br></p><p>항상 주님안에서 평안하세요.</p><p>감사합니다.</p>"
11477,"신약통독 끝나
구약 통독하려는데

설정이 안되네요.","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해 주셔서 감사드립니다.</p><p><br></p><p>성도님, 확인해본 결과, ""구약/신약 통독’, ‘잠언 통독’, 그리고 이전에 하셨던 ‘신약 통독’까지 총 3개의 통독 계획이 등록되어 있습니다.</p><p>신약 통독은 완료되었고, 구약 통독은 새로 시작하시려면&nbsp; 통독 계획 만들기에 들어가셔서,</p><p>성경 선택에서 ""구약""을 선택하시고 새로 통독을 생성해 보세요.</p><p><br></p><p>만약 위의 방법으로도 되지 않으신다면,</p><p>혹시 설정이 안 되는 부분이 어느 부분에서 어려우신 것인지, 조금 더 자세하게 설명해 주시고</p><p>설정이 안되는 부분의 화면을 캡쳐해 주시면 내부적으로 확인해 보도록 하겠습니다.</p><p><br></p><p>항상 성도님께 좋은 성경앱을 제공하기 위해 노력하는 바이블 애플이 되겠습니다.</p><p><br></p><p>감사합니다. 주님 안에서 평안하세요.</p>"
11476,"[바이블 애플]
개역개정 열왕기하 4장

31. 게하시가 그들보다 앞서 가서 지팡이를 그 아이의 얼굴에 놓았으나 소리도 없고 듣지도 아니하는지라 돌아와서 엘리사를 맞아 그에게 말하여 아이가 깨지 아니하였나이다 하니라

음원에서 “그들보다 먼저 가서”라고 읽습니다.  “앞서 가서”로 수정 필요해 보입니다.","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해 주셔서 감사드립니다.</p><p><br></p><p>성도님께서 제보해 주신 개역개정 열왕기하 4장 31절 음원을 직접 확인한 결과,</p><p>본문은 “<strong>앞서 가서</strong>”로 기록되어 있으나, 음원에서는 “<strong>먼저 가서</strong>”라고 낭독되고 있음을 확인하고, 전달하였습니다.</p><p>이 부분으로 인해 불편을 드린 점 깊이 사과드립니다.</p><p><br></p><p>이와 같은 현상은 <strong>음원 제작 시점과 역본 개정의 차이</strong>에서 발생합니다.</p><p>현재 바이블 애플에서는 저작권 계약을 맺은 음원과 직접 제작한 음원을 함께 제공하고 있습니다.</p><p>음원은 녹음 당시의 성경 역본을 기준으로 제작되었지만, 성경 본문은 이후 학문적 연구와 언어 보완을 거쳐 어미, 조사, 일부 표현이 개정되었습니다.</p><p>따라서 일부 단어나 문장이 본문과 불일치하는 경우가 발생할 수 있습니다.</p><p><br></p><p>또한, 계약된 음원은 제작사 측에서 전체 재녹음이 필요한 특성이 있어 <strong>즉시 부분 수정이 어렵다</strong>는 점도 양해 부탁드립니다.</p><p>저희가 자체 제작한 음원 역시 부분 편집이 불가능해, 전체 재녹음을 통해서만 수정할 수 있습니다. 이로 인해 수정 반영에는 다소 시간이 소요됩니다.</p><p><br></p><p>다만, 성도님께서 제보해 주신 오류는 소홀히 여기지 않습니다.</p><p>제보된 모든 음원 오류는 꼼꼼히 목록화하여 관리하고 있으며, 향후 음원 전체 재녹음 및 대규모 업데이트 시</p><p>적극 반영하여 더욱 정확하고 완성도 높은 음원을 제공해 드리겠습니다.</p><p><br></p><p>하나님의 말씀을 편안하고 온전히 들으실 수 있도록 늘 최선을 다하겠습니다. 앞으로도 불편 사항은 언제든 말씀해 주시기 바랍니다.</p><p>항상 주님 안에서 평안하세요, 감사합니다.</p>"
11474,앱 종료 예를 꾹 느르고 종료 시키는데 자꾸 정상적 종료를 안했다고 지적을 해서 문자 보냅니다,"<p>안녕하세요, GOODTV 바이블 애플입니다. 바이블 애플을 이용해 주셔서 감사합니다.</p><p><br></p><p>성도님, 핸드폰 설정에 들어가셔서 설정>애플리케이션>바이블 애플>저장공간 에 들어가셔서 캐시 삭제를 해 보시고,</p><p>그래도 문제가 해결되지 않는다면 앱이 백그라운드에서 강제 제한되지 않도록,</p><p>설정>애플리케이션>바이블 애플>배터리(또는 배터리 사용량)>""최적화 안 함"" 또는 ""제한 없음""으로 설정하세요.</p><p><br></p><p>혹시 위의 방법으로도 되지 않으시다면, 화면을 캡쳐해서 재문의해주시면 내부적으로 확인해보도록 하겠습니다.</p><p><br></p><p>항상 성도님들께 좋은 서비스를 제공하기 위해 노력하는 바이블 애플이 되겠습니다.</p><p><br></p><p>감사합니다.</p>"
11466,"마태복음21장31절
우리말성경 버전에
둘째아들이
맏아들로 잘못 표기된것
같아요","<p>안녕하세요 GOODTV 바이블 애플입니다. 바이블 애플을 이용해 주셔서 감사합니다.</p><p><br></p><p>마태복음 21장 31절에 대한 지적 감사합니다. 이 부분은 성경 번역에서 자주 논의되는 구절로, 원문과 여러 번역본을 비교하며 오해가 생길 수 있는 구절입니다. </p><p><br></p><p>먼저 이 구절은 ""두 아들의 비유""의 결론 부분으로, 원래 헬라어 성경 (신약 원문)에서 청중이 ""첫째 아들(ὁ πρῶτος)""이 아버지의 뜻을 행했다고 대답합니다. 비유 전체(28-30절)를 보면:</p><ul><li>맏아들(첫째): ""싫다""고 거절했지만 나중에 뉘우치고 포도원에 갔습니다.</li><li>둘째 아들: ""예, 가겠습니다""라고 했지만 실제로는 가지 않았습니다.</li></ul><p>따라서 ""맏아들""이 올바른 대답입니다. 다만, 개역한글 및 개역개정 번역본에서는 아들들의 행동 순서가 뒤집혀 ""둘째 아들""로 나와서 혼란이 생길 수 있는 부분입니다.</p><p><br></p><p>개역한글 및 개역개정 번역본의 경우 저희는 대한성서공회 측에서 제공하는 성경을&nbsp;제공하고 있습니다.&nbsp;</p><p><br></p><p>해당 부분이 대한 성서 공회에서 제공하는 성경과 일치하여 수정이 어렵습니다. 양해부탁드립니다.</p><p><br></p><p>대한성서공회에 문의 주시면 성서공회 측에서 반영할 것으로 예상됩니다.</p><p><br></p><p>성경 출처 : 대한성서공회 (bskorea.or.kr)(https://www.bskorea.or.kr/bible/korbibReadpage.php?version=GAE&amp;book=mat&amp;chap=21&amp;sec=31&amp;range=all&amp;keyword1=#focus)</p><p><br></p><p><br></p><p>항상 성도님께 좋은 성경앱을 제공하기 위해 노력하는 바이블 애플이 되겠습니다.</p><p><br></p><p>감사합니다. 주님 안에서 평안하세요.</p>"
11462,녹음시 한번씩 이렇게 말씀이 보이지 않아요 ㅡㅜ,<p>안녕하세요 바이블 애플입니다. </p><p>성도님 불편을 드려 죄송합니다. 녹음하시다 당황 하셨겠어요</p><p>해당 부분 면밀히 살피어 문제를 개선하도록 하겠습니다. </p><p>다만 한정된 인원으로 순차적으로 개발을 진행하다 보니 다소 시간이 걸릴 수 있는 점 양해부탁드립니다. </p><p>최대한 빠르게 수정 될 수 있도록 최선을 다하겠습니다. </p><p><br></p><p>언제나 주님의 말씀을 가까이하시는 성도님을 응원합니다. </p><p>문의 남겨주셔서 감사합니다. </p>
11461,오늘의 말씀을 클릭하면 이전에 나왔던 말씀이 나오고 다음장이나 이전장을 클릭하고 닷 돌아와야 오늘의 말씀이 있는 장이 나타납니다.  이런 현상이 오래전부터 계속되고 있는데 저만의 문제인지 알고 싶습니다,<p>안녕하세요 바이블 애플입니다. </p><p>성도님 불편을 드려 죄송합니다. </p><p>문의 주신 내용은 특정 기기에에서만 일어나는 문제같습니다. </p><p>저희가 내부 테스르로 확인 하였는데 현재 오늘의 말씀 본문으로 잘 이동됨을 확인하였습니다. </p><p>성도님 성경 녹음 기능을 사용하지 않으신다면 앱을 지우고 다시 설치해주세요 </p><p>(앱을 삭제하실 경우 녹음하신 음원도 모두 삭제됩니다. 삭제된 녹음음원 복구가 불가능 하오니 주의해주세요)</p><p>그러시면 해당 문제가 해결 될것으로 사료됩니다. </p><p>혹 앱을 지우고 재설치 하셨는데도 그러시다면 다시 한번 문의 남겨주세요 </p><p>성도님의 피드백이 저희에게 큰 도움이 됩니다.  </p><p>감사합니다. </p>
11460,"찬송가에서 3곡이 저작권 문제로 변경이 되었는데, 어플에는 변경 전으로 되어 있는 것으로 되어 있습니다
(11, 61, 194장)

어플 찬송가도 변경되어야 할 것 같아서 남깁니다","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>해당 사항 확인 후 조치를 취하기 위해 내부적으로 논의가 되고 있습니다. </p><p>변경을 위해서는 앱 업데이트를 진행해야 하는데,</p><p>예정된 업데이트 사항과 개발 환경의 제한으로 다소 시간이 지연되고 있음을 양해 부탁드립니다.</p><p>불편을 드리게 되어 죄송합니다.</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다. </p>"
11459,"형광펜 기능은 전체 절을 색칠하는데 단어만 밑줄 긋고 표시하고 싶은데 혹시 개발이 가능할까요?

앱 너무너무 잘 사용하고 있습니다","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>성도님, 소중한 의견 제안해주셔서 감사드립니다.</p><p>현재 형광펜 기능에 대한 업데이트가 바로 예정되어 있지는 않으나</p><p>제안해주신 절 하이라이트 시 자율적으로 밑줄을 할 수 있는 지에 대한 기능은 개발진들과 적극 참고 및 협의하여</p><p>더 나은 기능을 제공하기 위해 노력하겠습니다.</p><p><br></p><p>항상 더 깊은 묵상을 위해 최선을 다하는 바이블 애플이 되겠습니다.</p><p>오늘 하루도 하나님 안에서 평안한 시간 되세요, 감사합니다. </p>"
11458,본문 스크롤 속도조절하는 방법을 알려주세요. 지금은 읽는속도 보다 스크롤 속도가 너무 빨라 눈으로 본문을 읽기도 전에 내려갑니다.,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다. </p><p><br></p><p><u>스크롤 속도는 1~10까지 조정되며 숫자가 클수록 스크롤 속도가 빨라집니다.</u></p><p>아래 스크롤 속도 조정 방법을 사진으로 함께 첨부하였습니다. </p><p><br></p><p><strong>성경 본문 스크롤 조정하기</strong></p><p>1. 상단 ""A"" 아이콘 클릭해 주세요.</p><p>2. 스크롤 속도를 조정해 주세요.&nbsp;&nbsp;</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다. </p><p><br></p><p><img src=""https://m.goodtv.co.kr/admin/cs_images/03.png"" width=""100%""></p>"
