seq,contents,reply_contents
11677,"이 란에 오류.장애 등을 등록할 때  나이 등 필수등록 항목 중 하나라도 빠뜨리고 등록하기 버튼을 누르면  빠진 항목을 지적해주는데  빠진 항목을 보완하고 다시 등록하기 버튼을 누르면 작동이 안 되고  처으으로 다시 돌아가서 작성해야 되는 불편이 있어서 개선이 필요합니다  그리고 개선내용을 작성하는 바로 이 칸에서 내용을 수정하거나 등록하기 전에 작성한 내용을 점검하기 위해 상하로 드래그하면  이 칸의 내용이 드래그되지 않고 화면 전체가 움직여서 글 수정하기가 어렵습니다.  어떤  때는 드래그가 되고 어떤 때는 안 되어서 이 또한 개선이 요망됩니다. ","안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.1:1 문의 작성 시 필수사항을 제대로 입력하지 않으면 등록하기 버튼이 눌리지 않는 현상은내부에서도 재현되어 현재 수정 중에 있습니다.놓치기 쉬운 부분을 성도님께서 찾아주셔서 큰 감사의 말씀을 드리면서도불편하고 번거롭게 해드려 죄송합니다. 더불어, 드래그 시 화면 전체가 움직이는 부분은 저희가 기기 테스트를 할 때 확인이 되지 않는 부분이라조금 더 모니터링 및 다양한 상황을 지속 테스트 하면서문제를 확인하는대로 수정 및 업데이트 할 수 있도록 하겠습니다. 소중한 시간을 들여 제보의 글을 남겨주신 성도님께 다시한번 감사합니다. 환절기 감기 조심하시고 영육간 강건하시길 기도하겠습니다. 항상 주님 안에서 평안하시길 바랍니다. 감사합니다."
11676,롬16:25 이하 누락,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 말씀해주신 로마서 16장 25절 확인 결과.본문 및 음원에 별다른 오류 사항을 확인하지 못하였습니다.25절 이하 누락이 구체적으로 성경 본문과 음원 중 어떤 부분인지, 성경 번역본과 함께 말씀해주시면바로 확인하여 해당 문제가 단순 오탈자인지 기기 오류인지 판단하고 도움드릴 수 있도록 하겠습니다.번거우시겠지만 앞서 말씀드린 사항에 대해 다시 재문의 남겨주시면 감사하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11675,한절을 녹음하고 완료를 누를때 키가 작동하지 않아요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 지난 주말파일 삭제 후 재녹음을 진행할 때 녹음이 안된다는 문의 남겨주셨는데,혹시 이 문의와 같은 문제이실까요?이전 문의 남겨주실 때와 앱의 버전이 달라 확인이 필요합니다. 이전 문의에 남겨주신 문제는 해결 되셨는지,한 구절 녹음할 때 완료 버튼이 잘 눌리지 않는다는 말씀이모든 구절에서 같은지 아니면 특정 구절에서만 완료가 눌러지지 않는지 확인을 부탁드립니다.오류는 모든 기기에서 똑같이 나타나는 것이 아니기 때문에 구체적인 원인과 문제 파악을 위해성도님께 부득이하게 다시 한번 여쭙는 점 양해부탁드립니다.항상 주님 안에서 평안하세요, 감사합니다."
11674,구약 아가서 1장6절 말씀에  내가 일광에 쬐어서 거무스름할찌라도 흘겨보지 말것은 내 어미의 아들들이 나를 노하여 포도원지기를 삼았음이라 나는 포도원은 내가지키지 못하였구나  해석을 어떻게 해야 할지 모르겠어요 모르는 단어는 일광이고  이유:포도원은 왜지키지 못하였는가? 궁금합니다.,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 저희 개발진이 성서 연구원이나 목회자가 아니기에 구체적으로 어떤 내용이다, 라고 해석하는 것은 해드릴 수 없지만,말씀해주신 단어와 구절의 쉬운 번역은 전달해드릴 수 있습니다.우리말성경 아가서 1장 6절내가 햇볕에 그을려 검다 해도 나를 업신여기지는 마세요. 내 오빠들의 성화에 못 이겨 그들의 포도원을 돌보느라 정작 내 포도원은 돌보지 못한 것이랍니다.*일광은 한자어로 日光, 즉 햇볕을 의미합니다.위 우리말 성경 구절을 읽으시면 이해에 도움이 될 것으로 생각됩니다.현재 읽고 계신 성경은 개역개정 성경이실까요 ?구절이 너무 어렵다고 생각 되실 때에는 우리말 성경이나 표준새번역과 같이보다 현대어에 맞게 번역된 성경을 비교해서 읽으시면 묵상하는데에 더 도움이 되실 것 같습니다.바이블 애플은 웹 (PC) 과 모바일에서 20가지 성경 번역본을 모두 무료로 제공하고 있습니다.두가지 번역본을 선택해 비교해서 읽기 또한 가능하니 많은 관심과 이용을 부탁드립니다.답변이 성도님께 도움이 되길 소망합니다.앱 이용중 어려움이 있으시거나 다른 궁금점이 있으시면 언제든 고객문의로 연락을 부탁드립니다.항상 주님 안에서 평안하세요, 감사합니다."
11673,녹음파일 손상되어 공유할수 없음.,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다. 성도님, 확인 결과 마태복음 27장 63절 녹음에 문제가 있는 것으로 보입니다.해당 구절만 삭제 후 재녹음을 진행하신 뒤 공유 시도 해보시겠어요?구절 재녹음 뒤 공유하실 때에도 오류 메세지 확인되시면지금처럼 화면 캡쳐해서 첨부 부탁드립니다.문제 확인 후 최대한 빠르게 답변 및 수정할 수 있도록 하겠습니다. 항상 주님 안에서 평안하세요, 감사합니다."
11672,첨부가되지않아요 Error:open_input:(-1094995529) nvalid data found ehen procrssing input,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 가장 최근 문의에 답변을 달았습니다. 확인을 부탁드립니다. 항상 주님 안에서 평안하세요. 감사합니다."
11671,파일 생성이 안되어 다 지우고 다시 녹음하다가 중간에 멈춰사 절의 녹음저장이 안되고 멈췄어요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 전체 파일을 지우고 다시 녹음 하실 때 특정 부분에서 녹음이 안되신다는 말씀이실까요?최근 문의에 답변을 달았습니다. 확인하시고 최근 문의와 동일한 오류인지 확인을 부탁드립니다. 항상 주님 안에서 평안하세요. 감사합니다."
11669,"개역개정 출애굽기 7장 시작할 때 ""7장""안내 멘트가 없습나다.","안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 말씀을 들으실 때 ""배경음악 제거"" 후 청취하고 계신지요?해당 문제는 배경음악을 제거하면서 앞 구절이 들리지 않는 것으로배경음악 제거 모드를 끈 상태에서는 말씀이 정상적으로 재생 되는 것을 확인하였습니다.배경음악 제거 과정에서 앞구절이 잘린 음원은 음원 수정이 필요한 작업으로다소 시간이 소요될 것으로 보입니다.말씀해주신 출애굽기 장 안내 누락을 수정사항으로 전달할 수 있도록 하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11668,"저는 한국성서대학교 대학원 팀장입니다 혹시 이 어플리케이션 메인에 광고가 뜨던데  그런 광고에 관한 사항은 어디에 문의를 드려야할까요?  광고가격이나 방법등에 대해 알고 싶습니다 ","안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.해당 내용 관련 부서로 전달하여,문의 주신 분의 회원정보에 입력된 연락처로 연락 드릴 수 있도록 하겠습니다.주중 직접 연락을 주실 경우 아래 웹사이트 링크 내 문의 연락처로 부탁드립니다.(GOODTV 및 바이블 애플 운영시간은 월-금 09:00 ~ 18:00 으로, 다음 주 중 전달될 수 있음을 양해부탁드립니다. )구체적인 광고 안내는 아래 GOODTV 링크를 통해 확인 부탁드립니다.https://company.goodtv.co.kr/info/info_ad.asp항상 주님 안에서 평안하세요, 감사합니다."
11667,성경 녹음을 하는데 이 구절에서 넘어 가지를 않아 진행이 안됩니다. 다른 성경읽기를 하다가 되돌아 와서 하는데도 아직도 이 구절이 안됩니다. 도와주세요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.해당 구절을 내부에서 확인해본 결과 구절 자체의 문제는 아닌 것으로 판단 됩니다.현재 녹음 및 녹음 파일 공유 오류에 대해 전반적인 수정 중에 있어,다소 불편하시겠지만 앱을 삭제하시면 그간 녹음하신 파일 모두 삭제되오니절대 삭제하지 마시고 조금만 기다려 주시기를 부탁드립니다. 다른 구절을 녹음하시다가 같은 문제가 발생하는 경우, 고객문의로 남겨주시면 특정 패턴에 의해 문제가 발생하는 것은 아닌지 내부에서 확인하는데 큰 도움이 되니, 번거로우시더라도 다시한번 문의를 부탁드리겠습니다.불편을 드려 죄송합니다. 항상 주님 안에서 평안하세요, 감사합니다."
